ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,1.0,0,1,,no indicado,3 plantas,0,0,37532476,5,,Tobarra,"Calle Diseminados, 330 C"," Calle Diseminados, 330 C , Tobarra , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",300,,2019-04-12,39000,0,5.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,0,,en trámite,planta 3ª exterior,1,0,81723293,1,1,Hellín,"Calle Sol, 12"," Calle Sol, 12 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",103,102,2019-04-12,110000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,1 planta,0,0,33036003,2,,Tobarra,"Carretera tobarra, 2"," Carretera tobarra, 2 , Tobarra , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",150,,2019-04-12,60000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,1,0,,no indicado,3 plantas,1,0,39774974,4,,Tobarra,"Calle Casica de la Huerta, 203"," Calle Casica de la Huerta, 203 , Tobarra , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",60,135,2019-04-12,95000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,0,,,planta 2ª exterior,1,0,81651400,1,1,Hellín,"Calle Falcón, 1"," Calle Falcón, 1 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",125,110,2019-04-12,175000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,1,2008,en trámite,2 plantas,0,1,40041349,5,,Liétor,Calle Norte s/n," Calle Norte s/n , Liétor , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",320,250,2019-04-12,65000,0,6.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,1,0,1991,no indicado,planta 3ª exterior,1,0,81180795,1,1,Hellín,"Calle Balmes, 2"," Calle Balmes, 2 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",110,90,2019-04-12,105000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,1,,no indicado,2 plantas,1,0,81882736,3,,Ontur,"Calle del Aire, 18"," Calle del Aire, 18 , Ontur , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",127,122,2019-04-12,68900,0,5.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,3.0,1,0,,,planta 1ª exterior,0,0,81287827,1,1,Hellín,"Calle Gran Vía, 71"," Calle Gran Vía, 71 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",144,,2019-04-12,143000,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,,inmueble exento,1 planta,1,0,38126947,2,,Tobarra,"Calle la Huerta, 1 D"," Calle la Huerta, 1 D , Tobarra , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",405,350,2019-04-12,70000,0,4.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
