ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 11 de febrero,1,0,3.0,0,0,,no indicado,2 plantas,0,0,84213378,0,,Villanueva de los Infantes,"Calle Cidas, 26"," Calle Cidas, 26 , Villanueva de los Infantes , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",98,,2019-04-12,30000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 6 de enero,0,0,1.0,0,0,2000,no indicado,planta 1ª,0,0,83751085,4,0,Villanueva de los Infantes,," , Villanueva de los Infantes , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",68,48,2019-04-12,29000,0,1.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 2 de abril,0,0,1.0,0,0,,no indicado,2 plantas,0,0,28379932,1,,Albaladejo,"Calle Tienda, 18"," Calle Tienda, 18 , Albaladejo , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",110,100,2019-04-12,39000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de febrero,0,0,1.0,0,1,,no indicado,2 plantas,0,0,36638069,0,,Castellar de Santiago,"Calle Cervantes, 16"," Calle Cervantes, 16 , Castellar de Santiago , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",300,200,2019-04-12,48000,0,5.0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 7 de abril,0,0,2.0,0,0,,en trámite,2 plantas,1,0,38686620,1,,Cozar,"Avenida América, 1"," Avenida América, 1 , Cozar , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",320,,2019-04-12,90000,0,8.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 29 de enero,0,0,1.0,0,0,,en trámite,2 plantas,0,0,39160495,1,,Albaladejo,"Calle Maestro Serrano, 7"," Calle Maestro Serrano, 7 , Albaladejo , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",45,80,2019-04-12,18500,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,0,2.0,1,0,1979,no indicado,3 plantas,0,0,81909615,0,,Villanueva de los Infantes,"Plaza de San Juan, 6"," Plaza de San Juan, 6 , Villanueva de los Infantes , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",408,,2019-04-12,360000,0,4.0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anuncio actualizado el 31 de marzo,0,0,2.0,0,1,,no indicado,2 plantas,1,0,82028087,0,,Torre de Juan Abad,"Calle Nieve, 45"," Calle Nieve, 45 , Torre de Juan Abad , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",240,230,2019-04-12,55000,0,7.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,1.0,0,0,,no indicado,2 plantas,0,0,82544916,0,,Torre de Juan Abad,"Calle Serrezuela, 37"," Calle Serrezuela, 37 , Torre de Juan Abad , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",90,,2019-04-12,17000,0,2.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 2 de enero,0,0,2.0,0,0,,no indicado,2 plantas,0,0,34814683,1,,Cozar,"Calle Santa Ana, 102"," Calle Santa Ana, 102 , Cozar , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",240,200,2019-04-12,29000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de marzo,0,0,1.0,0,0,,no indicado,2 plantas,0,0,1741693,1,,Villamanrique,"Calle Francisco Escribano, 2"," Calle Francisco Escribano, 2 , Villamanrique , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",80,,2019-04-12,15000,0,3.0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de enero,0,0,2.0,0,0,,no indicado,1 planta,1,1,28240207,3,,Cozar,"Avenida Ejército Español, 6"," Avenida Ejército Español, 6 , Cozar , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",352,220,2019-04-12,85000,0,5.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Anuncio actualizado el 11 de febrero,0,0,1.0,0,0,,no indicado,2 plantas,0,0,34626136,1,,Torre de Juan Abad,"Calle calvario, 79"," Calle calvario, 79 , Torre de Juan Abad , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",76,62,2019-04-12,20000,0,2.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de enero,0,0,1.0,1,0,,en trámite,planta 3ª interior,0,0,36132496,4,0,Villanueva de la Fuente,"Plaza España, 10"," Plaza España, 10 , Villanueva de la Fuente , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",100,90,2019-04-12,49000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 6 de marzo,0,0,1.0,0,0,,no indicado,2 plantas,0,0,38801673,1,,San Carlos del Valle,Calle Solares s/n," Calle Solares s/n , San Carlos del Valle , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",85,,2019-04-12,65000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,1,2.0,0,0,,no indicado,3 plantas,1,0,81844620,1,,Torre de Juan Abad,"Calle Nuestra Señora de los Olmos, 52"," Calle Nuestra Señora de los Olmos, 52 , Torre de Juan Abad , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",380,360,2019-04-12,60000,0,7.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 3 de abril,0,0,1.0,0,0,,en trámite,,0,0,82482094,8,,Villanueva de los Infantes,," , Villanueva de los Infantes , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",93,,2019-04-12,54000,0,2.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 12 de febrero,0,0,1.0,0,0,,en trámite,2 plantas,0,0,83547559,0,,Villanueva de los Infantes,"Calle Escarcha, 4"," Calle Escarcha, 4 , Villanueva de los Infantes , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",54,,2019-04-12,12000,0,3.0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 20 de noviembre,0,0,2.0,0,0,,no indicado,,1,0,423105,1,,San Carlos del Valle,"Calle Agapito Sánchez Muñoz, 15"," Calle Agapito Sánchez Muñoz, 15 , San Carlos del Valle , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",200,,2019-04-12,80000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
