province,market_type,model,split,n_samples,MAPE,RMSE,MAE,R2,training_time
sevilla,sales,Support Vector Regression,test,368,48.154856236780674,64142.952734386796,51486.4392598223,0.15672495247136065,0.09235310554504395
sevilla,sales,Random Forest,train,1468,1.3270676085078754,5254.478594200614,1641.0673024116484,0.9948211772776634,0.08402109146118164
sevilla,sales,Random Forest,test,368,1.977143489856387,4309.797486871551,2523.0548925939925,0.9961929806827672,0.08402109146118164
sevilla,sales,Gradient Boosting,train,1468,0.7349798398544238,1154.6575095396659,858.6597886624297,0.9997499204614041,0.16637802124023438
sevilla,sales,Gradient Boosting,test,368,1.7974789364944888,3375.2512577474563,2152.2459684316773,0.9976650178286498,0.16637802124023438
sevilla,sales,Decision Tree,train,1468,1.8927169030781177,5942.339875554684,2506.360164482602,0.993376511809029,0.003548145294189453
sevilla,sales,Decision Tree,test,368,4.2268879254929645,9337.688459488701,5514.181470117622,0.9821289482015441,0.003548145294189453
ciudad_real,sales,Support Vector Regression,train,1072,51.93330879737748,35925.43592104127,24387.569725669695,0.15103638086209226,0.04913783073425293
ciudad_real,sales,Support Vector Regression,test,268,48.78303023868415,42168.18997136854,26714.459827302377,0.09181027081126492,0.04913783073425293
ciudad_real,sales,Random Forest,train,1072,1.6469503248077364,4055.092968769184,1046.9261868734668,0.9891835034153343,0.07527303695678711
ciudad_real,sales,Random Forest,test,268,2.996121082270111,9562.830388196015,2620.7682425429516,0.9532932582021427,0.07527303695678711
ciudad_real,sales,Gradient Boosting,train,1072,1.1191659828201388,965.183486895468,648.3240125240666,0.9993872197596447,0.1167290210723877
ciudad_real,sales,Gradient Boosting,test,268,2.9201932392133068,6415.165547257599,2377.9642045044216,0.9789804989480055,0.1167290210723877
ciudad_real,sales,Decision Tree,train,1072,2.2299193211265003,3838.8915487453337,1473.5385263609064,0.9903061415714807,0.0026650428771972656
ciudad_real,sales,Decision Tree,test,268,5.761371886648261,8978.86718822203,4316.956669978033,0.9588234684112111,0.0026650428771972656
girona,sales,Support Vector Regression,train,1040,39.88042677388394,82896.85339415104,55363.071924422664,0.03223672697602897,0.04532003402709961
girona,sales,Support Vector Regression,test,261,37.090266254618406,82304.15172359259,56687.35308041278,0.012644173031461037,0.04532003402709961
girona,sales,Random Forest,train,1040,1.5676315589701795,8686.494599004243,2726.2578770964906,0.9893736980441922,0.08429527282714844
girona,sales,Random Forest,test,261,2.605607180484158,14469.681459635907,5628.47427036888,0.9694825565670966,0.08429527282714844
girona,sales,Gradient Boosting,train,1040,0.6685806430521533,1308.4285631180762,969.4813723091693,0.999758902294543,0.11376380920410156
girona,sales,Gradient Boosting,test,261,2.3572582425824535,10583.114716017204,4768.496568388988,0.9836748487138962,0.11376380920410156
girona,sales,Decision Tree,train,1040,2.1402859691383926,8680.918349139172,3839.512076225057,0.9893873366633108,0.0024111270904541016
girona,sales,Decision Tree,test,261,5.059001028441192,21154.123462115334,10091.21611907675,0.9347740705170329,0.0024111270904541016
alicante,sales,Support Vector Regression,train,908,50.24850668259043,69423.80133681589,44262.71627093512,0.03774249171363009,0.03496599197387695
alicante,sales,Support Vector Regression,test,228,52.08577124213147,64036.02945508855,43005.946539344804,0.05035495108041288,0.03496599197387695
alicante,sales,Random Forest,train,908,1.7442416977692234,5668.496027942209,1939.68900142183,0.9935847996853443,0.07646703720092773
alicante,sales,Random Forest,test,228,3.7052993248753405,6175.458790757919,3206.9659889026952,0.9911681644693412,0.07646703720092773
alicante,sales,Gradient Boosting,train,908,0.6782507139610917,755.1335585752533,550.8505518825937,0.9998861528742977,0.10587406158447266
