ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 25 de febrero,0,1,1.0,1,0,,no indicado,planta 3ª exterior,0,0,38340761,14,0,Navaleno,"Avenida de la Constitución, 67"," Avenida de la Constitución, 67 , Navaleno , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",100,,2019-04-11,250,0,4.0,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 18 de marzo,0,0,2.0,0,0,,no indicado,3 plantas,0,0,1796463,18,,Valdenebro,"Calle Fragua, 5"," Calle Fragua, 5 , Valdenebro , Burgo de Osma, Soria ",,"Burgo de Osma, Soria",60,100,2019-04-11,350,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 3 de febrero,0,0,2.0,1,0,,no indicado,planta 4ª exterior,1,0,1860732,14,1,Soria,Distrito Zona Polideportivos Asperon - Mariano Vicen," Calle Santa Teresa, 21 , Distrito Zona Polideportivos Asperon - Mariano Vicen , Soria , Área de Soria, Soria ","Calle Santa Teresa, 21","Área de Soria, Soria",120,100,2019-04-11,725,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 7 de abril,0,0,3.0,0,0,,no indicado,,1,0,40506210,16,,Duruelo de la Sierra,"Avenida de Regumiel, 29"," Avenida de Regumiel, 29 , Duruelo de la Sierra , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",145,,2019-04-11,500,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de marzo,0,1,2.0,1,0,,,planta 1ª exterior,0,0,83879756,14,1,Almazan,"Calle Tirso de Molina, 17"," Calle Tirso de Molina, 17 , Almazan , Almazán, Soria ",,"Almazán, Soria",124,114,2019-04-11,500,1,4.0,1,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2.0,1,0,,en trámite,bajo exterior,1,1,84046286,14,0,Soria,Distrito Calaverón - Pajaritos," Calle Ramón de la Orden, 6 , Urb. Pajaritos , Distrito Calaverón - Pajaritos , Soria , Área de Soria, Soria ",Urb. Pajaritos,"Área de Soria, Soria",92,80,2019-04-11,650,0,2.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 20 de febrero,0,0,1.0,0,0,,,planta 2ª exterior,1,0,81711030,14,1,Soria,Distrito Calaverón - Pajaritos," Calle Juan Antonio Simón, 20 , Distrito Calaverón - Pajaritos , Soria , Área de Soria, Soria ","Calle Juan Antonio Simón, 20","Área de Soria, Soria",120,96,2019-04-11,660,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 10 de abril,0,0,1.0,0,0,,,planta 3ª exterior,0,0,39722553,14,1,Soria,Distrito Centro," Calle Teatro, 19 , Distrito Centro , Soria , Área de Soria, Soria ","Calle Teatro, 19","Área de Soria, Soria",40,,2019-04-11,375,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 19 de marzo,0,0,3.0,0,0,,no indicado,3 plantas,1,1,84520039,18,,Almazan,Urb. Las acacias," Plaza Europa, 12 , Urb. Las acacias , Almazan , Almazán, Soria ","Plaza Europa, 12","Almazán, Soria",320,,2019-04-11,600,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 4 de abril,0,0,2.0,0,0,,no indicado,planta 5ª exterior,1,1,27743174,15,1,Soria,Distrito Eduardo Saavedra - Eloy Sanz Villa," Calle Manuel Fraga Iribarne, 8 , Distrito Eduardo Saavedra - Eloy Sanz Villa , Soria , Área de Soria, Soria ","Calle Manuel Fraga Iribarne, 8","Área de Soria, Soria",110,,2019-04-11,680,0,3.0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,1,0,1.0,1,0,,en trámite,planta 6ª exterior,0,0,84898198,15,1,Soria,Distrito Santa Barbara-Barriada Yagüe," Calle Navas Tolosa, 16 , Distrito Santa Barbara-Barriada Yagüe , Soria , Área de Soria, Soria ","Calle Navas Tolosa, 16","Área de Soria, Soria",60,45,2019-04-11,450,0,1.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 10 de abril,0,0,2.0,0,0,,no indicado,2 plantas,1,0,84793750,17,,San Pedro Manrique,"Calle Medio, 14"," Calle Medio, 14 , San Pedro Manrique , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",180,,2019-04-11,350,0,2.0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 4 de abril,0,0,1.0,1,0,,no indicado,planta 1ª exterior,0,0,33979600,14,1,Arcos de Jalon,"Calle marqués de casablanca, 11"," Calle marqués de casablanca, 11 , Arcos de Jalon , Almazán, Soria ",,"Almazán, Soria",75,74,2019-04-11,300,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de marzo,0,0,2.0,1,0,,no indicado,planta 1ª exterior,0,0,82476236,14,0,Almazan,"Calle Tres cruces, 1"," Calle Tres cruces, 1 , Almazan , Almazán, Soria ",,"Almazán, Soria",125,115,2019-04-11,440,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 31 de marzo,0,0,1.0,1,0,,en trámite,planta 7ª exterior,0,0,84753706,14,1,Soria,Distrito Zona Polideportivos Asperon - Mariano Vicen," Avenida Valladolid, 33 , Distrito Zona Polideportivos Asperon - Mariano Vicen , Soria , Área de Soria, Soria ","Avenida Valladolid, 33","Área de Soria, Soria",47,,2019-04-11,470,0,1.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 7 de abril,0,1,3.0,0,0,,no indicado,planta 1ª exterior,0,0,84892330,14,0,San esteban de Gormaz,Urb. NO," Avenida Valladolid, 103 1º , Urb. NO , San esteban de Gormaz , Burgo de Osma, Soria ","Avenida Valladolid, 103 1º","Burgo de Osma, Soria",90,89,2019-04-11,1000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 25 de febrero,0,0,3.0,1,0,,en trámite,2 plantas,0,1,84404688,18,,Almazan,Urb. El Cinto," Calle Berlin, 3 , Urb. El Cinto , Almazan , Almazán, Soria ","Calle Berlin, 3","Almazán, Soria",150,120,2019-04-11,700,0,3.0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anuncio actualizado el 1 de marzo,0,0,3.0,1,0,2003,en trámite,3 plantas,0,1,82767767,16,,Soria,Distrito Santa Barbara-Barriada Yagüe," ANTONIO ONCALA , Distrito Santa Barbara-Barriada Yagüe , Soria , Área de Soria, Soria ",ANTONIO ONCALA,"Área de Soria, Soria",260,230,2019-04-11,1200,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,3.0,0,0,,no indicado,3 plantas,1,1,36051775,16,,Vinuesa,"Urbanizacion Santa Ines, 13"," Urbanizacion Santa Ines, 13 , Vinuesa , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",150,,2019-04-11,690,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 9 de abril,0,0,2.0,0,0,1976,,2 plantas,0,0,82198083,16,,Cubo de la Solana,"Calle Carretera, 3"," Calle Carretera, 3 , Cubo de la Solana , Área de Soria, Soria ",,"Área de Soria, Soria",270,230,2019-04-11,800,1,6.0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
