ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 8 de abril,0,0,1.0,0,0,,no indicado,,0,0,27442720,3,,Villalonso,"Calle Corrillo, 5"," Calle Corrillo, 5 , Villalonso , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",180,,2019-04-11,12000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de enero,0,0,1.0,0,0,,no indicado,bajo exterior,0,0,27410027,0,0,Morales de Toro,"Calle el Donante, 21"," Calle el Donante, 21 , Morales de Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",220,,2019-04-11,80000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,0,2.0,0,0,,no indicado,planta 3ª exterior,1,0,36649624,0,0,Toro,"Avenida Antona García, 14"," Avenida Antona García, 14 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",130,,2019-04-11,58000,0,4.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 6 de marzo,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,38549759,0,1,Toro,"Calle Cerrada, 3"," Calle Cerrada, 3 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",55,,2019-04-11,65000,0,1.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de marzo,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,82660368,0,1,Toro,"Travesía Carlos Pinilla, 7"," Travesía Carlos Pinilla, 7 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",84,,2019-04-11,100000,0,3.0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de febrero,0,0,1.0,0,0,,no indicado,2 plantas,0,0,82727830,3,,Toro,"Calle Plata, 2"," Calle Plata, 2 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",100,,2019-04-11,120000,1,3.0,0,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de febrero,0,0,2.0,0,0,,no indicado,,0,0,83836419,2,,Toro,"Calle Rejadorada, 6"," Calle Rejadorada, 6 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",174,,2019-04-11,42000,0,5.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 12 de febrero,0,0,1.0,0,0,,no indicado,3 plantas,0,0,83967647,3,,Toro,"Calle Judería, 6"," Calle Judería, 6 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",209,,2019-04-11,200000,0,5.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 26 de noviembre,0,0,0.0,0,0,,no indicado,,0,0,26912136,7,,Toro,"Calle Buenaguia, 17"," Calle Buenaguia, 17 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",39,75,2019-04-11,20000,0,0.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de marzo,0,0,0.0,0,0,,no indicado,,0,0,28549348,3,,Venialbo,"Calle Toro, 14"," Calle Toro, 14 , Venialbo , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",70,,2019-04-11,8000,0,0.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de enero,0,1,1.0,0,0,,en trámite,planta 2ª exterior,0,0,40470606,0,1,Toro,"Calle Padre José Navarro, 2"," Calle Padre José Navarro, 2 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",105,95,2019-04-11,47000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 10 de marzo,0,0,1.0,1,0,,no indicado,planta 3ª exterior,1,0,1661145,5,1,Toro,"Calle Batalla de Toro, 1"," Calle Batalla de Toro, 1 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",83,66,2019-04-11,85000,0,2.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 20 de marzo,0,0,2.0,0,0,,,planta 3ª exterior,0,0,26642455,5,1,Toro,"Calle San Lorenzo el Real, 4"," Calle San Lorenzo el Real, 4 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",200,189,2019-04-11,255000,0,5.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 7 de abril,0,0,1.0,1,0,,inmueble exento,,0,0,30399488,8,,Toro,"Calle Rey de Labradores, 6"," Calle Rey de Labradores, 6 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",235,195,2019-04-11,385000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
