ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 9 de marzo,0,0,2.0,0,0,2005.0,,,1,1,84446680,6,1.0,Urcabustaiz,," , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",121,119.0,2019-03-29,168300,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 10 de enero,0,1,1.0,0,0,1993.0,,planta 2ª,0,0,39480673,3,1.0,Aramaio,," , Aramaio , Zuya, Álava ",,"Zuya, Álava",85,87.0,2019-03-29,120000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de marzo,0,1,1.0,1,0,1993.0,no indicado,planta 4ª exterior,0,1,390366,3,0.0,Urcabustaiz,"Calle Godamiturri, 21"," Calle Godamiturri, 21 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",101,80.0,2019-03-29,78000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anuncio actualizado el 17 de marzo,0,0,3.0,0,0,1993.0,,2 plantas,1,1,25460231,0,1.0,Zuya,"Calle San Juan, 2"," Calle San Juan, 2 , Zuya , Álava ",,Álava,1000,175.0,2019-03-29,346000,0,5.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 25 de marzo,0,0,4.0,1,0,1993.0,en trámite,3 plantas,1,1,27462015,0,1.0,Legutiano,"Calle Paraje de Larrabea, 10"," Calle Paraje de Larrabea, 10 , Legutiano , Zuya, Álava ",,"Zuya, Álava",1500,87.0,2019-03-29,490000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 19 de febrero,0,0,1.0,0,0,1993.0,en trámite,planta 2ª exterior,0,0,25431683,3,0.0,Urcabustaiz,"Calle de Ugarte, 7"," Calle de Ugarte, 7 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",82,87.0,2019-03-29,65000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de enero,0,0,1.0,1,0,1993.0,no indicado,planta 2ª exterior,0,1,28048815,3,0.0,Urcabustaiz,Urb. uadalondo," Calle Municipal Plaza, 3 , Urb. uadalondo , Urcabustaiz , Zuya, Álava ","Calle Municipal Plaza, 3","Zuya, Álava",82,65.0,2019-03-29,120000,0,2.0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 13 de enero,0,0,2.0,1,0,1993.0,no indicado,planta 1ª exterior,1,1,28489376,3,1.0,Urcabustaiz,"Plaza Nueva, 9"," Plaza Nueva, 9 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",78,87.0,2019-03-29,175000,0,2.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 21 de enero,0,0,1.0,0,0,1993.0,no indicado,planta 3ª exterior,0,0,29107186,1,1.0,Legutiano,"Calle Comercio, 12"," Calle Comercio, 12 , Legutiano , Zuya, Álava ",,"Zuya, Álava",81,87.0,2019-03-29,120000,0,2.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,3.0,1,0,1993.0,no indicado,3 plantas,1,1,29703875,0,1.0,Zigoitia,"Calle Marisolo, 3"," Calle Marisolo, 3 , Zigoitia , Zuya, Álava ",,"Zuya, Álava",1500,280.0,2019-03-29,342000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Anuncio actualizado el 18 de marzo,0,0,2.0,0,1,1993.0,inmueble exento,3 plantas,1,1,32191777,2,1.0,Zigoitia,"Calle lizaur, 7"," Calle lizaur, 7 , Zigoitia , Zuya, Álava ",,"Zuya, Álava",1573,87.0,2019-03-29,450000,0,4.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 25 de marzo,0,0,2.0,0,0,1993.0,inmueble exento,,0,1,32813295,0,1.0,Urcabustaiz,"Calle zubinto, 6"," Calle zubinto, 6 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",70,87.0,2019-03-29,273000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,2.0,1,0,1993.0,no indicado,planta 4ª exterior,1,1,29194169,3,0.0,Urcabustaiz,"Calle Ugarte, 15"," Calle Ugarte, 15 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",120,100.0,2019-03-29,125000,0,4.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 19 de marzo,0,0,1.0,1,0,1993.0,no indicado,planta 2ª exterior,0,1,1645125,3,0.0,Urcabustaiz,Urb. Udalondo," Plaza Municipal, 7 , Urb. Udalondo , Urcabustaiz , Zuya, Álava ","Plaza Municipal, 7","Zuya, Álava",85,80.0,2019-03-29,70000,0,4.0,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 25 de febrero,0,0,1.0,1,0,1993.0,no indicado,planta 3ª exterior,1,0,36632638,3,1.0,Zuya,"Calle San Martin, 4"," Calle San Martin, 4 , Zuya , Álava ",,Álava,84,65.0,2019-03-29,155000,0,1.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 4 de febrero,0,0,3.0,0,0,1993.0,,,1,1,36871462,0,1.0,Arrazua-Ubarrundia,"Calle Francisco Santos de Ayala, 22"," Calle Francisco Santos de Ayala, 22 , Arrazua-Ubarrundia , Zuya, Álava ",,"Zuya, Álava",990,270.0,2019-03-29,545000,0,5.0,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 25 de marzo,0,0,2.0,1,0,1993.0,no indicado,planta 1ª exterior,1,1,36929764,3,0.0,Urcabustaiz,"Calle Logorri, 9"," Calle Logorri, 9 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",106,85.0,2019-03-29,130000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Anuncio actualizado el 27 de enero,0,0,1.0,0,0,1993.0,,planta 2ª exterior,0,1,37660077,3,0.0,Urcabustaiz,"Plaza Municipal, 2"," Plaza Municipal, 2 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",80,87.0,2019-03-29,100000,0,2.0,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 12 de febrero,1,0,4.0,1,0,1993.0,no indicado,2 plantas,1,1,38349406,0,1.0,Zigoitia,"Calle Basalanda, 11"," Calle Basalanda, 11 , Zigoitia , Zuya, Álava ",,"Zuya, Álava",1092,87.0,2019-03-29,675000,0,4.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 17 de marzo,0,0,2.0,1,0,1993.0,no indicado,planta 3ª exterior,1,1,39145539,3,1.0,Urcabustaiz,Urb. Plaza Nueva," Plaza Nueva, 3 NmeroD , Urb. Plaza Nueva , Urcabustaiz , Zuya, Álava ","Plaza Nueva, 3 NmeroD","Zuya, Álava",105,85.0,2019-03-29,155000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
