price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
2200,1.0,2.0,16,83592023,120,98,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1800,3.0,4.0,16,83592028,150,138,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
2400,2.0,4.0,16,83907316,242,214,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1900,0
1450,2.0,2.0,21,84480168,80,74,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1250,2.0,3.0,21,84554078,100,95,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1954,0
950,2.0,2.0,16,82274035,62,55,Irun,"Bajo Bidasoa, Guipúzcoa",2018,0
800,2.0,3.0,18,84847229,90,85,Irun,"Bajo Bidasoa, Guipúzcoa",2004,0
950,1.0,1.0,21,84153777,42,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1800,3.0,4.0,22,36137694,252,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,1
1250,1.0,1.0,16,84040943,45,43,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1050,1.0,1.0,16,84327775,45,43,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
800,1.0,2.0,16,84569337,50,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",2009,1
950,2.0,3.0,16,84553466,100,85,Astigarraga,"Donostialdea, Guipúzcoa",2011,1
750,1.0,1.0,21,84626882,54,43,Pasaia,"Donostialdea, Guipúzcoa",2005,1
3500,3.0,4.0,16,39675386,170,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1959,0
1700,2.0,5.0,18,33092870,130,115,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
900,1.0,3.0,16,39390370,90,85,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1920,0
2000,2.0,3.0,16,84867298,110,95,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1970,0
960,1.0,1.0,16,35413393,48,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
950,1.0,1.0,16,84592903,46,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
990,1.0,1.0,16,84690691,58,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1400,2.0,2.0,16,84034445,90,77,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1993,1
950,1.0,1.0,16,84173962,50,42,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",2005,0
