ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, oeste"
más de 5 meses sin actualizar,1,0,1.0,0,0,1996.0,no indicado,planta 10ª exterior,0,0,1845905,5,1.0,Sant Pere de Riudebitlles,"Carretera Bp-2151, 25"," Carretera Bp-2151, 25 , Sant Pere de Riudebitlles , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",72,99.0,2019-04-12,117000,0,2.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,1,0,1996.0,,2 plantas,1,1,1852196,2,1.0,Olèrdola,"Calle Príncep d´Olèrdola, 5"," Calle Príncep d´Olèrdola, 5 , Olèrdola , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",732,179.0,2019-04-12,350000,0,5.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
más de 5 meses sin actualizar,1,1,2.0,1,0,1996.0,no indicado,planta 1ª exterior,0,0,393376,3,0.0,Vilafranca del Penedès,Distrito Centre Vila," Calle Puigmolto, 11 , Distrito Centre Vila , Vilafranca del Penedès , Alt Penedès, Barcelona ","Calle Puigmolto, 11","Alt Penedès, Barcelona",270,265.0,2019-04-12,345000,0,7.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,1,1996.0,en trámite,,1,0,25057919,6,1.0,Mediona,Urb. La Font del Bosc," Calle del Fluvià, 1452 , Urb. La Font del Bosc , Mediona , Alt Penedès, Barcelona ","Calle del Fluvià, 1452","Alt Penedès, Barcelona",1100,100.0,2019-04-12,145000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1996.0,no indicado,planta 2ª exterior,1,0,32918998,0,1.0,Torrelles de Foix,carrera pontons s/n," carrera pontons s/n , Torrelles de Foix , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",91,82.0,2019-04-12,100000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1996.0,,bajo interior,0,0,33643604,0,0.0,Vilafranca del Penedès,Distrito Les Clotes," Calle de ferran, 23 , Urb. Carrer ferran , Distrito Les Clotes , Vilafranca del Penedès , Alt Penedès, Barcelona ",Urb. Carrer ferran,"Alt Penedès, Barcelona",80,70.0,2019-04-12,95000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,1,1996.0,en trámite,3 plantas,1,1,34714436,1,1.0,Subirats,"Passatge de la Font, 1"," Passatge de la Font, 1 , Subirats , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",1048,99.0,2019-04-12,170000,0,1.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1996.0,no indicado,1 planta,0,1,35458400,2,1.0,Pontons,Urb. La rimbalda," Calle 6, 198 , Urb. La rimbalda , Pontons , Alt Penedès, Barcelona ","Calle 6, 198","Alt Penedès, Barcelona",700,65.0,2019-04-12,65000,0,2.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1996.0,,bajo exterior,0,0,36773989,0,1.0,Vilafranca del Penedès,Distrito Barceloneta - Molí d'En Rovira," Calle del General Zurbano, 36 , Distrito Barceloneta - Molí d'En Rovira , Vilafranca del Penedès , Alt Penedès, Barcelona ","Calle del General Zurbano, 36","Alt Penedès, Barcelona",110,90.0,2019-04-12,138000,0,4.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1996.0,no indicado,2 plantas,1,1,37315941,2,1.0,Mediona,"Calle Avet, 16"," Calle Avet, 16 , Mediona , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",200,99.0,2019-04-12,165000,0,4.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,1,0,1996.0,no indicado,planta 3ª exterior,0,0,37575290,0,1.0,Sant Pere de Riudebitlles,"Carretera La, 25"," Carretera La, 25 , Sant Pere de Riudebitlles , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",146,99.0,2019-04-12,149000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,1996.0,no indicado,planta 2ª exterior,0,0,1616126,0,1.0,Vilafranca del Penedès,Distrito Poble Nou," Calle Menéndez Pelayo, 7 , Distrito Poble Nou , Vilafranca del Penedès , Alt Penedès, Barcelona ","Calle Menéndez Pelayo, 7","Alt Penedès, Barcelona",90,80.0,2019-04-12,198000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,3.0,0,0,1996.0,no indicado,2 plantas,1,0,81156236,4,1.0,Olèrdola,"Calle de Mila I Fontanals, 25"," Calle de Mila I Fontanals, 25 , Olèrdola , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",200,99.0,2019-04-12,310000,0,4.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,0,2000.0,no indicado,planta 1ª exterior,1,0,40221876,0,1.0,Sant Sadurní d'Anoia,"Calle Rosa Sensat, 5"," Calle Rosa Sensat, 5 , Sant Sadurní d'Anoia , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",112,95.0,2019-04-12,175000,1,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,1,1977.0,no indicado,2 plantas,1,0,82128609,7,1.0,Subirats,Urb. can Rosell," Calle de les perdius, 3 , Urb. can Rosell , Subirats , Alt Penedès, Barcelona ","Calle de les perdius, 3","Alt Penedès, Barcelona",615,175.0,2019-04-12,165000,1,6.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
