price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,energetic_certif,floor,loc_district,loc_neigh,obtention_date,ad_last_update
700,3.0,3.0,18,83858567,120,115.0,Ribera Baja,"Añana, Álava",1993.0,0,0,1,0,1,1,1.0,0,1,0,1,,2 plantas,Calle Arenal s/n,,2019-03-29,Anuncio actualizado el 15 de enero
860,2.0,3.0,15,84616190,95,90.0,Vitoria-Gasteiz,Álava,1980.0,0,0,0,0,1,0,1.0,0,1,0,0,,planta 5ª exterior,Distrito Aranzabela - Aranbizkarra,PALENCIA,2019-03-29,Anuncio actualizado el 11 de marzo
990,1.0,1.0,15,84745268,80,87.0,Vitoria-Gasteiz,Álava,1993.0,1,0,0,0,0,0,1.0,0,0,0,1,en trámite,planta 7ª exterior,Distrito Salburua,"Calle Nadine Gordimer Kalea, 19",2019-03-29,Anuncio actualizado el 20 de marzo
670,1.0,2.0,15,84805007,70,65.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,0.0,0,0,0,0,,planta 3ª exterior,Distrito Casco Viejo,ZAPATERIA,2019-03-29,Anuncio actualizado el 25 de marzo
1100,2.0,3.0,15,84711230,135,124.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,1,0,1.0,0,0,0,1,en trámite,planta 4ª exterior,Distrito Coronación,Avenida de gasteiz,2019-03-29,Anuncio actualizado el 18 de marzo
675,1.0,3.0,15,84735350,80,75.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,0,,planta 2ª exterior,Distrito Judimendi - Sta.Lucía,santa lucia,2019-03-29,Anuncio actualizado el 21 de marzo
785,1.0,3.0,15,84440365,89,85.0,Vitoria-Gasteiz,Álava,1960.0,0,1,0,0,0,0,1.0,0,1,0,0,en trámite,planta 3ª interior,Distrito Casco Viejo,"Francia Kalea, Vitoria-Gasteiz",2019-03-29,Anuncio actualizado el 27 de marzo
990,1.0,1.0,22,40227341,80,68.0,Vitoria-Gasteiz,Álava,1993.0,0,1,1,0,0,0,1.0,0,0,0,1,,planta 7ª exterior,Distrito Salburua,"Calle Nadine Gordimer, 21",2019-03-29,Anuncio actualizado el 25 de marzo
1200,2.0,4.0,15,37366913,90,85.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,1,1.0,1,0,0,1,no indicado,planta 1ª exterior,Distrito Txagorritxu - El Pilar,"Calle Bolivia, 7",2019-03-29,Anuncio actualizado el 21 de marzo
765,1.0,2.0,15,84558569,65,87.0,Vitoria-Gasteiz,Álava,1993.0,0,1,0,0,0,0,0.0,0,0,0,0,,planta 2ª exterior,Distrito Casco Viejo,"Calle zapatería, 39",2019-03-29,Anuncio actualizado el 19 de marzo
1200,2.0,3.0,15,84593534,104,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,1,0,1.0,0,1,0,1,en trámite,planta 4ª,Distrito Armentia - Ciudad Jardín,Gaztelako Atea,2019-03-29,Anuncio actualizado el 11 de marzo
1400,3.0,5.0,18,83304597,292,248.0,Iruña de Oca,"Añana, Álava",2008.0,0,0,0,0,1,0,1.0,0,1,0,1,en trámite,,Calle San Cristobal,,2019-03-29,Anuncio actualizado el 5 de marzo
1100,2.0,3.0,15,31721870,120,110.0,Vitoria-Gasteiz,Álava,1990.0,0,0,1,0,1,0,1.0,0,1,0,0,en trámite,planta 5ª exterior,Distrito Centro,"Calle florida, 8",2019-03-29,Anuncio actualizado el 12 de marzo
780,2.0,3.0,15,84254610,110,92.0,Vitoria-Gasteiz,Álava,1993.0,0,1,1,0,1,1,1.0,0,0,0,1,no indicado,planta 2ª exterior,Distrito Zabalgana - Ariznabarra,Urb. privada,2019-03-29,Anuncio actualizado el 21 de marzo
725,2.0,3.0,15,84119399,83,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,0,,planta 4ª exterior,Distrito Centro,"Calle Manuel Iradier, 44",2019-03-29,Anuncio actualizado el 25 de marzo
690,1.0,3.0,15,84399863,73,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,1,0,0,,planta 4ª exterior,Distrito Judimendi - Sta.Lucía,"Calle Errekatxiki, 39",2019-03-29,Anuncio actualizado el 20 de marzo
850,2.0,2.0,15,84668481,80,75.0,Vitoria-Gasteiz,Álava,1985.0,0,0,1,0,0,0,1.0,1,1,0,1,en trámite,planta 6ª exterior,Distrito Lovaina - Aranzabal,adriano vi,2019-03-29,Anuncio actualizado el 14 de marzo
850,1.0,3.0,15,84533877,110,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,0.0,0,1,0,1,,planta 1ª exterior,Distrito Judimendi - Sta.Lucía,"Calle de los Herrán, 20",2019-03-29,Anuncio actualizado el 18 de marzo
1100,3.0,5.0,15,82590898,160,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,0,,planta 7ª exterior,Distrito Lovaina - Aranzabal,"Calle Joaquin Jose Landazuri, 7",2019-03-29,Anuncio actualizado el 15 de febrero
