price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,energetic_certif,floor,loc_district,loc_neigh,obtention_date,ad_last_update
70000,1.0,3.0,3,30352591,82,65.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,1,0,1,,planta 4ª exterior,,,2019-03-29,Anuncio actualizado el 9 de enero
150000,1.0,3.0,3,83458493,90,80.0,Amurrio,"Ayala, Álava",1993.0,0,1,1,0,0,0,1.0,1,0,0,1,no indicado,planta 4ª exterior,"Calle Aiala, 1",,2019-03-29,Anuncio actualizado el 13 de marzo
160000,1.0,3.0,3,34198077,90,75.0,Okondo,"Ayala, Álava",1993.0,0,1,1,0,0,1,0.0,0,1,0,0,,planta 5ª exterior,"irabien entitatea, 13",,2019-03-29,Anuncio actualizado el 11 de febrero
150000,2.0,3.0,3,38153358,70,61.0,Llodio,"Ayala, Álava",1990.0,0,0,0,0,0,0,0.0,0,0,0,0,,bajo exterior,GOIENURI,,2019-03-29,Anuncio actualizado el 26 de marzo
88000,1.0,1.0,3,38572514,50,48.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,0,,bajo exterior,RUPERTO URKIJO,,2019-03-29,Anuncio actualizado el 25 de febrero
185000,2.0,3.0,3,39328698,100,92.0,Ayala,Álava,2004.0,0,0,0,0,1,1,1.0,0,1,0,0,,bajo exterior,PADURA,,2019-03-29,Anuncio actualizado el 15 de febrero
75000,1.0,3.0,3,40482303,75,87.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,0,,planta 4ª exterior,Carretera VITORIO,,2019-03-29,Anuncio actualizado el 25 de julio
150000,1.0,2.0,3,83588092,77,64.0,Llodio,"Ayala, Álava",1993.0,0,1,0,0,0,0,1.0,0,1,0,0,,planta 5ª exterior,"Ruperto Urquijo Kalea, Llodio",,2019-03-29,Anuncio actualizado el 14 de diciembre
280000,2.0,3.0,3,83845253,105,98.0,Llodio,"Ayala, Álava",1993.0,0,0,1,0,1,0,1.0,0,1,0,0,,planta 5ª exterior,"Virgen del Carmen Kalea, Llodio",,2019-03-29,Anuncio actualizado el 18 de enero
195000,1.0,3.0,3,84156661,97,74.0,Llodio,"Ayala, Álava",1993.0,0,1,0,0,1,0,1.0,0,1,0,0,,planta 5ª exterior,IBAIZABAL,,2019-03-29,Anuncio actualizado el 22 de febrero
125000,1.0,2.0,3,84217128,61,87.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,1.0,0,0,0,0,,planta 3ª exterior,PATRICIA BILBAO,,2019-03-29,Anuncio actualizado el 9 de febrero
130000,1.0,3.0,3,31051190,124,99.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,1,0,0,en trámite,planta 3ª exterior,,,2019-03-29,Anuncio actualizado el 26 de noviembre
65000,1.0,3.0,3,32236327,92,74.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,1,en trámite,planta 5ª exterior,,,2019-03-29,Anuncio actualizado el 26 de noviembre
190000,2.0,4.0,3,32254154,114,98.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,1,en trámite,planta 1ª exterior,,,2019-03-29,Anuncio actualizado el 17 de diciembre
120000,1.0,3.0,3,32614078,88,70.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,1,0,1,en trámite,planta 4ª exterior,,,2019-03-29,Anuncio actualizado el 26 de noviembre
175000,2.0,2.0,9,34660836,80,87.0,Ayala,Álava,1993.0,0,0,0,0,1,0,1.0,0,1,0,0,en trámite,planta 2ª exterior,barrio otazu,,2019-03-29,Anuncio actualizado el 1 de febrero
295000,2.0,3.0,9,81339856,120,106.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,1,0,1,en trámite,planta 1ª exterior,,,2019-03-29,Anuncio actualizado el 26 de noviembre
290000,2.0,3.0,3,81339860,155,135.0,Ayala,Álava,2004.0,0,0,0,0,0,0,1.0,0,1,0,1,en trámite,planta 3ª exterior,,,2019-03-29,Anuncio actualizado el 26 de noviembre
132000,1.0,2.0,3,81339863,80,60.0,Artziniega,"Ayala, Álava",1993.0,0,0,0,0,0,1,0.0,0,1,1,1,en trámite,planta 2ª,,,2019-03-29,Anuncio actualizado el 26 de noviembre
165000,1.0,3.0,3,81339864,85,68.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,0,en trámite,planta 4ª,,,2019-03-29,Anuncio actualizado el 26 de noviembre
132500,1.0,2.0,3,82612246,84,70.0,Llodio,"Ayala, Álava",2008.0,0,0,0,0,1,0,1.0,1,1,0,0,,planta 4ª exterior,,,2019-03-29,Anuncio actualizado el 22 de octubre
96000,2.0,3.0,3,83590908,95,94.0,Okondo,"Ayala, Álava",1993.0,0,1,0,0,0,0,0.0,0,0,0,0,en trámite,planta 1ª exterior,villachica,,2019-03-29,Anuncio actualizado el 14 de diciembre
160000,1.0,2.0,3,30573446,100,85.0,Okondo,"Ayala, Álava",1993.0,0,0,1,0,0,1,0.0,0,1,0,1,,planta 5ª exterior,"Irabien, 13",,2019-03-29,Anuncio actualizado el 11 de marzo
385000,3.0,5.0,0,1669814,1442,87.0,Ayala,Álava,1993.0,0,0,0,0,1,1,1.0,0,1,0,0,no indicado,3 plantas,"Calle Barrio Inorza, 49",,2019-03-29,Anuncio actualizado el 28 de diciembre
350000,3.0,4.0,5,81397270,212,174.0,Ayala,Álava,2008.0,0,0,0,0,1,1,1.0,0,0,1,1,,,,,2019-03-29,Anuncio actualizado el 15 de julio
159000,2.0,2.0,3,84074678,100,80.0,Llodio,"Ayala, Álava",2007.0,0,0,0,0,1,0,1.0,0,0,0,0,en trámite,planta 2ª exterior,,,2019-03-29,Anuncio actualizado el 20 de febrero
120000,2.0,3.0,3,37875465,90,87.0,Artziniega,"Ayala, Álava",1993.0,0,0,1,0,0,1,1.0,0,0,1,1,en trámite,planta 2ª exterior,"Calle eguzkimendi, 2",,2019-03-29,Anuncio actualizado el 24 de marzo
275000,3.0,4.0,5,33155085,232,140.0,Artziniega,"Ayala, Álava",1993.0,0,0,1,0,1,0,1.0,0,1,0,1,en trámite,2 plantas,,,2019-03-29,Anuncio actualizado el 21 de agosto
195000,2.0,3.0,3,83892907,112,97.0,Artziniega,"Ayala, Álava",1993.0,0,0,0,0,1,0,1.0,0,0,0,1,en trámite,planta 1ª exterior,"el palacio, 3",,2019-03-29,Anuncio actualizado el 17 de enero
290000,3.0,5.0,5,39541960,280,87.0,Okondo,"Ayala, Álava",1993.0,0,0,1,0,0,1,1.0,0,0,0,1,no indicado,4 plantas,"San Roman Entitatea, 27",,2019-03-29,Anuncio actualizado el 15 de enero
300000,1.0,4.0,7,82717931,70400,87.0,Ayala,Álava,1800.0,0,0,0,0,0,0,1.0,0,0,0,0,no indicado,3 plantas,"Kexaa Entitatea, 24",,2019-03-29,Anuncio actualizado el 16 de noviembre
390000,3.0,4.0,0,2094823,950,200.0,Ayala,Álava,1993.0,0,0,0,0,1,1,1.0,0,0,0,0,no indicado,2 plantas,"Izoria, 64",,2019-03-29,Anuncio actualizado el 22 de octubre
280000,3.0,3.0,6,29349941,206,172.0,Amurrio,"Ayala, Álava",1993.0,0,0,0,0,0,1,1.0,0,0,0,0,en trámite,,,,2019-03-29,Anuncio actualizado el 26 de noviembre
330000,3.0,4.0,6,29596631,180,150.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,1.0,0,0,0,1,en trámite,,,,2019-03-29,Anuncio actualizado el 26 de noviembre
112000,1.0,3.0,3,31081510,96,78.0,Okondo,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,1,en trámite,planta 2ª exterior,,,2019-03-29,Anuncio actualizado el 26 de noviembre
73000,1.0,2.0,3,31573192,62,50.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,0,en trámite,planta 2ª exterior,,,2019-03-29,Anuncio actualizado el 18 de febrero
120000,1.0,3.0,3,31777128,80,70.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,1,0,0.0,0,0,0,0,,bajo exterior,,,2019-03-29,Anuncio actualizado el 26 de noviembre
176000,2.0,2.0,9,511814,77,87.0,Ayala,Álava,2005.0,0,0,0,0,0,1,1.0,0,1,0,0,en trámite,planta 2ª exterior,,,2019-03-29,Anuncio actualizado el 5 de junio
155000,1.0,3.0,3,32680710,83,67.0,Artziniega,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,1,en trámite,planta 4ª exterior,,,2019-03-29,Anuncio actualizado el 26 de noviembre
270000,3.0,4.0,5,33087324,232,87.0,Artziniega,"Ayala, Álava",1993.0,0,0,1,0,1,0,1.0,0,1,0,1,,2 plantas,Urb. ANDRA MARI,"gernika hiribidea, 22",2019-03-29,Anuncio actualizado el 13 de enero
295000,1.0,2.0,3,34047701,90,74.0,Llodio,"Ayala, Álava",1993.0,0,0,1,0,0,0,1.0,0,1,0,1,inmueble exento,planta 4ª exterior,Calle pio xii s/n,,2019-03-29,Anuncio actualizado el 24 de marzo
98000,1.0,2.0,3,34796847,62,47.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,0,en trámite,planta 5ª,,,2019-03-29,Anuncio actualizado el 26 de noviembre
150000,1.0,2.0,3,36820388,73,61.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,1.0,0,1,0,1,en trámite,planta 5ª,,,2019-03-29,Anuncio actualizado el 13 de diciembre
197000,2.0,3.0,3,36822673,107,86.0,Llodio,"Ayala, Álava",1993.0,0,0,0,0,0,0,1.0,0,1,0,0,,planta 5ª exterior,,,2019-03-29,Anuncio actualizado el 26 de noviembre
199000,2.0,3.0,3,37419171,110,90.0,Ayala,Álava,1993.0,0,0,0,0,1,0,1.0,0,1,0,1,en trámite,planta 2ª,,,2019-03-29,Anuncio actualizado el 26 de noviembre
185000,2.0,3.0,3,39424503,90,84.0,Ayala,Álava,2007.0,0,0,0,0,1,0,1.0,0,1,0,0,,planta 1ª exterior,,,2019-03-29,Anuncio actualizado el 6 de julio
155000,2.0,2.0,9,39425087,75,70.0,Ayala,Álava,2007.0,0,0,0,0,1,0,1.0,0,1,0,0,,planta 2ª exterior,,,2019-03-29,Anuncio actualizado el 18 de enero
