ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,heating_no dispone de calefacción: gas natural,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 10 de marzo,0,0,2.0,0,0,,no indicado,2 plantas,0,1,81953944,0,,Santa Comba,AC-546 s/n," AC-546 s/n , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",4800,110,2019-04-13,140000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anuncio actualizado el 6 de abril,0,0,2.0,0,0,2001,no indicado,planta 2ª exterior,1,1,84560722,8,1,Santa Comba,"Calle san pedro de veigues, 1"," Calle san pedro de veigues, 1 , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",100,,2019-04-13,96000,0,3.0,1,0,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de marzo,0,0,1.0,1,1,,no indicado,2 plantas,1,0,81546100,6,,Mazaricos,"vilarcobo, 9"," vilarcobo, 9 , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",7200,100,2019-04-13,99000,0,2.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 14 de marzo,0,0,2.0,1,0,,no indicado,planta 1ª exterior,0,0,84641819,1,0,Santa Comba,"Avenida de Alfonso Molina, 12"," Avenida de Alfonso Molina, 12 , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",110,100,2019-04-13,80000,0,4.0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 11 de marzo,0,0,1.0,0,0,1940,en trámite,2 plantas,1,1,84360004,0,,Mazaricos,," , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",8600,,2019-04-13,95000,0,5.0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de marzo,0,0,3.0,0,0,,,2 plantas,1,1,39497154,0,,Mazaricos,pino do val s/n," pino do val s/n , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",3300,,2019-04-13,169000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de marzo,0,0,2.0,0,0,2016,en trámite,1 planta,1,0,83867627,0,,Mazaricos,ASENSO," ASENSO , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",7500,,2019-04-13,229000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de febrero,0,0,1.0,0,0,1964,en trámite,2 plantas,0,1,81973522,0,,Mazaricos,"SANFOGA, 23"," SANFOGA, 23 , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",6721,139,2019-04-13,119000,0,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de marzo,0,0,3.0,0,0,1975,en trámite,2 plantas,1,1,84525502,0,,Santa Comba,Lugar de Pragais s/n," Lugar de Pragais s/n , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",3500,250,2019-04-13,160000,0,7.0,1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ad_last_update,air_conditioner,balcony,0.0,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,1,garden,house_id,9,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,0.0,storage_room,swimming_pool,terrace,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Anuncio actualizado el 27 de marzo,0,0,2.0,1,0,,en trámite,,1,1,82538791,7,,Valdoviño,," , Valdoviño , Área de Ferrol, A Coruña ",,"Área de Ferrol, A Coruña",2183,246,2019-04-13,240000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,1,,no indicado,3 plantas,1,0,82199324,3,,Valdoviño,Malde s/n," Malde s/n , Valdoviño , Área de Ferrol, A Coruña ",,"Área de Ferrol, A Coruña",5000,,2019-04-13,198000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
