ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 31 de marzo,0,0,3.0,0,0,,no indicado,4 plantas,0,1,32299077,2,,Ayllon,"Calle del hermanamiento, 11"," Calle del hermanamiento, 11 , Ayllon , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",300,,2019-04-13,350000,0,5.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 23 de diciembre,0,0,1.0,0,0,,no indicado,bajo exterior,1,0,34428227,0,1,Riaza,"Calle val bajo, 9"," Calle val bajo, 9 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",90,,2019-04-13,105000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 20 de diciembre,0,0,2.0,0,0,1992,en trámite,planta 3ª exterior,0,0,35025456,6,0,Riaza,," , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",73,60,2019-04-13,60000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anuncio actualizado el 20 de diciembre,0,0,2.0,0,0,1982,,,1,1,81733344,7,,Riaza,," , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",727,96,2019-04-13,153000,0,3.0,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 9 de enero,0,0,4.0,0,0,,en trámite,2 plantas,0,0,83756150,2,,Fresno de Cantespino,"Calle de San Nicolás, 1"," Calle de San Nicolás, 1 , Fresno de Cantespino , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",235,,2019-04-13,98000,0,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 7 de febrero,0,0,1.0,0,0,,en trámite,,0,0,81871088,0,0,Campo de San Pedro,," , Campo de San Pedro , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",122,100,2019-04-13,53200,0,4.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 25 de marzo,0,0,1.0,0,0,,,planta 3ª,1,0,81947166,0,1,Riaza,Calle Val Bajo," Calle Val Bajo , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",115,91,2019-04-13,136900,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,2.0,1,0,,no indicado,entreplanta exterior,1,1,1728850,0,1,Riaza,Urb. pRADO DE LOS ROBLES," Calle Eugenio Hernanz Gómez, 8 , Urb. pRADO DE LOS ROBLES , Riaza , Área de Riaza, Segovia ","Calle Eugenio Hernanz Gómez, 8","Área de Riaza, Segovia",100,90,2019-04-13,150000,0,3.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 14 de marzo,0,0,1.0,1,0,,no indicado,bajo interior,0,1,1741274,0,1,Riaza,"Avenida Doctor Antonio García Tapia, 1"," Avenida Doctor Antonio García Tapia, 1 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",64,58,2019-04-13,65600,0,1.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,0,2.0,1,0,2012,no indicado,3 plantas,0,0,378113,2,,Riaza,Urb. alquite," Calle Callejón s/n , Urb. alquite , Riaza , Área de Riaza, Segovia ",Calle Callejón s/n,"Área de Riaza, Segovia",111,,2019-04-13,119000,0,3.0,1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
