ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: bomba de frío/calor,heating_calefacción central: eléctrica,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,1,0,1891471,3,0,Constantina,Urb. colina blanca," Calle Fernando Rodriguez Espinola, 1 , Urb. colina blanca , Constantina , Sierra norte, Sevilla ","Calle Fernando Rodriguez Espinola, 1","Sierra norte, Sevilla",79,73,2019-04-13,95000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,,,planta 2ª interior,0,0,25508294,3,0,Aznalcollar,"Calle de las Cuatro Esquinas, 1"," Calle de las Cuatro Esquinas, 1 , Aznalcollar , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",100,99,2019-04-13,56000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,3.0,1,0,,,2 plantas,1,1,28354257,6,,Gerena,Urb. Jardines de Gerena," Calle Sevillanas, 29 , Urb. Jardines de Gerena , Gerena , Sierra norte, Sevilla ","Calle Sevillanas, 29","Sierra norte, Sevilla",160,110,2019-04-13,120000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,1,0,32455309,6,,Guadalcanal,"Calle nuestra señora de la amargura, 5"," Calle nuestra señora de la amargura, 5 , Guadalcanal , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",120,,2019-04-13,185000,0,3.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,1,,no indicado,1 planta,0,0,32927847,2,,El Ronquillo,"Avenida andalucia, 33"," Avenida andalucia, 33 , El Ronquillo , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",250,80,2019-04-13,36000,0,2.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,1,0,28188725,1,,El Pedroso,"Calle del Molino Pradillo, 5"," Calle del Molino Pradillo, 5 , El Pedroso , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",300,140,2019-04-13,80000,0,4.0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,1,,no indicado,1 planta,0,1,37478817,2,,Castilblanco de los Arroyos,"Calle Murillo, 9"," Calle Murillo, 9 , Castilblanco de los Arroyos , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",280,,2019-04-13,165000,0,3.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,,1,0,81876823,1,,Las Navas de la Concepcion,"poligono 9, 10"," poligono 9, 10 , Las Navas de la Concepcion , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",10000,,2019-04-13,265000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,1,,,2 plantas,1,0,81993051,8,,El Castillo de las Guardas,"Calle Larga, 19"," Calle Larga, 19 , El Castillo de las Guardas , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",200,150,2019-04-13,150000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
más de 5 meses sin actualizar,0,1,1.0,0,0,,en trámite,bajo exterior,0,0,82031805,3,0,Cazalla de la Sierra,"Calle Daoiz, 55"," Calle Daoiz, 55 , Cazalla de la Sierra , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",65,,2019-04-13,75000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
