ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373142,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",412,247,2019-04-15,99000,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373143,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",405,243,2019-04-15,110000,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373144,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",405,243,2019-04-15,110000,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373145,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",444,266,2019-04-15,115500,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373146,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",478,287,2019-04-15,126500,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373147,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",491,295,2019-04-15,126500,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373148,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",431,259,2019-04-15,121000,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373149,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",528,317,2019-04-15,137500,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373150,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",546,328,2019-04-15,137500,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de noviembre,0,0,2.0,0,0,,no indicado,,0,0,40373151,10,,Ripoll,Urbanitzacio la Torre," Urbanitzacio la Torre , Ripoll , Ripollès, Girona ",,"Ripollès, Girona",604,362,2019-04-15,137500,0,0.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
