ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gas natural,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 27 de marzo,0,0,1.0,0,0,,,,0,0,36572783,0,1,Pinto,Distrito Centro - Ayuntamiento," Plaza de la rábida , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",Plaza de la rábida,"Zona sur, Madrid",92,,2019-04-12,133021,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,1,1,2.0,1,0,,en trámite,planta 2ª exterior,1,0,82946053,0,0,Pinto,Distrito Centro - Ayuntamiento," Calle del Barco, 3 , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Calle del Barco, 3","Zona sur, Madrid",130,115,2019-04-12,185000,0,4.0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Anuncio actualizado el 6 de noviembre,1,0,2.0,1,0,2000,en trámite,planta 2ª exterior,1,1,36553167,0,1,Pinto,Distrito Puerta Pinto - Valparaíso," Calle de Manuel Jiménez 'El Alguacil' s/n , Distrito Puerta Pinto - Valparaíso , Pinto , Zona sur, Madrid ",Calle de Manuel Jiménez 'El Alguacil' s/n,"Zona sur, Madrid",90,70,2019-04-12,210000,1,2.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,1,0,2.0,1,0,,no indicado,planta 4ª exterior,1,1,83760028,5,1,Pinto,Distrito Teneria i - Teneria Ii," Calle Oscar Domínguez, 4 , Urb. Tenería , Distrito Teneria i - Teneria Ii , Pinto , Zona sur, Madrid ",Urb. Tenería,"Zona sur, Madrid",120,,2019-04-12,340000,0,3.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 24 de febrero,1,0,1.0,1,0,2004,no indicado,planta 1ª exterior,1,1,1892318,0,1,Pinto,Distrito Teneria i - Teneria Ii," Calle Francisco Farreras, 10 , Urb. los olivos , Distrito Teneria i - Teneria Ii , Pinto , Zona sur, Madrid ",Urb. los olivos,"Zona sur, Madrid",82,69,2019-04-12,195000,1,2.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de marzo,0,0,2.0,0,0,,no indicado,bajo exterior,0,0,83888640,0,0,Pinto,Distrito Centro - Ayuntamiento," Calle de la Villa del Castillo, 2 , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Calle de la Villa del Castillo, 2","Zona sur, Madrid",116,,2019-04-12,139000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,1,0,1.0,0,0,1974,en trámite,planta 4ª exterior,0,0,84117623,0,1,Pinto,Distrito Parque Europa - Los Pitufos," Calle de Islas Canarias, 14 , Urb. LA INDIANA , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",Urb. LA INDIANA,"Zona sur, Madrid",97,,2019-04-12,135000,1,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 29 de marzo,0,0,2.0,0,0,,en trámite,bajo exterior,0,0,84522650,0,0,Pinto,Distrito Centro - Ayuntamiento," Calle del Rebolledo, 3 , Urb. Zona centro ayuntamiento , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",Urb. Zona centro ayuntamiento,"Zona sur, Madrid",116,114,2019-04-12,138000,1,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anuncio actualizado el 7 de abril,1,0,1.0,1,0,,no indicado,planta 2ª exterior,0,0,84685577,0,0,Pinto,Distrito Centro - Ayuntamiento," Calle del Arroyo, 4 , Urb. No , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",Urb. No,"Zona sur, Madrid",80,73,2019-04-12,129000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 9 de abril,1,1,1.0,1,0,,,planta 1ª interior,1,0,39184155,0,0,Pinto,Distrito Centro - Ayuntamiento," Calle de Cádiz, 28 , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Calle de Cádiz, 28","Zona sur, Madrid",55,,2019-04-12,158000,0,2.0,1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
