ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,2.0,0,1,,no indicado,2 plantas,1,0,37842539,2,,Calañas,"Calle quemada, 37"," Calle quemada, 37 , Calañas , El Andévalo, Huelva ",,"El Andévalo, Huelva",280,,2019-04-13,180000,0,5.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,bajo exterior,0,0,306886,4,0,El Campillo,"Calle Granada, 88"," Calle Granada, 88 , El Campillo , El Andévalo, Huelva ",,"El Andévalo, Huelva",55,,2019-04-13,50000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,,planta 2ª exterior,0,1,26419729,6,1,Minas de Riotinto,"los Cantos, 6"," los Cantos, 6 , Minas de Riotinto , El Andévalo, Huelva ",,"El Andévalo, Huelva",100,98,2019-04-13,53000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 2ª exterior,0,0,35261072,4,0,Nerva,"Barriada Nuestra Señora de Africa, 6"," Barriada Nuestra Señora de Africa, 6 , Nerva , El Andévalo, Huelva ",,"El Andévalo, Huelva",60,,2019-04-13,35000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,1 planta,0,0,35284662,1,,Calañas,"Calle Galaroza, 5"," Calle Galaroza, 5 , Calañas , El Andévalo, Huelva ",,"El Andévalo, Huelva",200,,2019-04-13,75000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,,0,0,35653053,1,,Villanueva de los Castillejos,"Calle lepe, 113"," Calle lepe, 113 , Villanueva de los Castillejos , El Andévalo, Huelva ",,"El Andévalo, Huelva",132,120,2019-04-13,110000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,1,,no indicado,1 planta,0,1,37704619,7,,Minas de Riotinto,Las Delgadas s/n," Las Delgadas s/n , Minas de Riotinto , El Andévalo, Huelva ",,"El Andévalo, Huelva",90000,,2019-04-13,200000,0,2.0,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,,,,0,0,28656180,1,,Calañas,"Zaragoza, 9"," Zaragoza, 9 , Calañas , El Andévalo, Huelva ",,"El Andévalo, Huelva",100,,2019-04-13,72000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,38390291,2,,Minas de Riotinto,"Calle federico garcia lorca, 6"," Calle federico garcia lorca, 6 , Minas de Riotinto , El Andévalo, Huelva ",,"El Andévalo, Huelva",80,,2019-04-13,30000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,1 planta,0,0,38400402,2,,Calañas,"Calle Escorial, 5"," Calle Escorial, 5 , Calañas , El Andévalo, Huelva ",,"El Andévalo, Huelva",100,,2019-04-13,80000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,1,,inmueble exento,2 plantas,0,1,30577977,8,,El Cerro de Andévalo,Carretera Hv-1421 s/n," Carretera Hv-1421 s/n , El Cerro de Andévalo , El Andévalo, Huelva ",,"El Andévalo, Huelva",100000,250,2019-04-13,429000,0,5.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,1,,inmueble exento,2 plantas,0,0,25607416,7,,Zalamea la Real,Calle Resolana s/n," Calle Resolana s/n , Zalamea la Real , El Andévalo, Huelva ",,"El Andévalo, Huelva",30,,2019-04-13,45000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,0,,no indicado,,1,0,81214898,1,,Valverde del Camino,"Calle Pablo Neruda, 1"," Calle Pablo Neruda, 1 , Valverde del Camino , El Andévalo, Huelva ",,"El Andévalo, Huelva",316,,2019-04-13,250000,0,4.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
