ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: eléctrica,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,1.0,1,0,,no indicado,bajo exterior,0,0,1676815,2,0,Villena,"Calle Miguel Hernandez, 13"," Calle Miguel Hernandez, 13 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",73,67,2019-04-14,115500,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,no indicado,3 plantas,0,0,35136730,5,,Biar,"Calle de la Barrera, 46"," Calle de la Barrera, 46 , Biar , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",85,78,2019-04-14,100000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,,no indicado,1 planta,1,1,37702552,1,,Sax,"Plaza Poligono 5, 141"," Plaza Poligono 5, 141 , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",160,,2019-04-14,168000,0,3.0,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,1,0,,no indicado,planta 2ª exterior,0,0,82135875,2,0,Villena,"Avenida Alicante, 75"," Avenida Alicante, 75 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",140,125,2019-04-14,65000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,1 planta,0,0,26091116,1,,Sax,Urb. Peñarrubia," Partida Peñarrubia, 65 , Urb. Peñarrubia , Sax , Alt Vinalopó, Alicante ","Partida Peñarrubia, 65","Alt Vinalopó, Alicante",40000,150,2019-04-14,295000,0,4.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,inmueble exento,2 plantas,0,0,1784539,3,,Benejama,"Calle Santiago Ferre, 20"," Calle Santiago Ferre, 20 , Benejama , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",160,147,2019-04-14,75000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,0,2001,no indicado,planta 1ª exterior,0,0,34028074,2,1,Villena,"Calle felix rodriguez de la fuente, 11"," Calle felix rodriguez de la fuente, 11 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",110,,2019-04-14,83000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,1,0,,no indicado,planta 2ª exterior,0,0,82772551,9,1,Villena,"Calle de la Corredera, 24"," Calle de la Corredera, 24 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",90,,2019-04-14,115000,0,0.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,0,,,planta 5ª exterior,1,1,28392693,4,1,Villena,"Calle Poetisa Gloria Fuertes, 3"," Calle Poetisa Gloria Fuertes, 3 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",108,,2019-04-14,139000,1,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de abril,0,0,2.0,0,0,,no indicado,,0,0,39385967,1,,Villena,Calle peñarrubia s/n," Calle peñarrubia s/n , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",15000,,2019-04-14,390000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
